Time, y, x, Angle, D, BelowCut, Away
11, 177, 132, -90.000000, 0.089885,  0, 0 
11, 109, 133, 90.000000, 0.110864,  0, 1 
11, 110, 133, 90.000000, 0.101449,  0, 1 
11, 111, 133, 90.000000, 0.118694,  0, 1 
11, 112, 133, 90.000000, 0.134800,  0, 1 
11, 113, 133, 90.000000, 0.135193,  0, 1 
11, 114, 133, 90.000000, 0.127250,  0, 1 
11, 122, 133, 90.000000, 0.047797,  0, 1 
11, 123, 133, 90.000000, 0.043822,  0, 1 
11, 124, 133, 90.000000, 0.036316,  0, 1 
11, 125, 133, 90.000000, 0.023760,  0, 1 
11, 126, 133, 90.000000, 0.002989,  0, 1 
11, 141, 133, 90.000000, 0.027312,  0, 1 
11, 142, 133, 90.000000, 0.015150,  0, 1 
11, 143, 133, 90.000000, 0.005612,  0, 1 
11, 144, 133, 90.000000, 0.001434,  0, 1 
11, 145, 133, 90.000000, 0.005041,  0, 1 
11, 146, 133, 90.000000, 0.011077,  0, 1 
11, 147, 133, 90.000000, 0.013269,  0, 1 
11, 148, 133, 90.000000, 0.013593,  0, 1 
11, 149, 133, 90.000000, 0.008659,  0, 1 
11, 157, 133, 90.000000, 0.040784,  0, 1 
11, 158, 133, 90.000000, 0.053044,  0, 1 
11, 159, 133, 90.000000, 0.067639,  0, 1 
11, 160, 133, 90.000000, 0.079994,  0, 1 
11, 161, 133, 90.000000, 0.089732,  0, 1 
11, 162, 133, 90.000000, 0.092170,  0, 1 
11, 163, 133, 90.000000, 0.089148,  0, 1 
11, 164, 133, 90.000000, 0.083607,  0, 1 
11, 165, 133, 90.000000, 0.074795,  0, 1 
11, 173, 133, -90.000000, 0.014362,  0, 0 
11, 174, 133, -90.000000, 0.037686,  0, 0 
11, 175, 133, -90.000000, 0.057345,  0, 0 
11, 176, 133, -90.000000, 0.071146,  0, 0 
11, 177, 133, -90.000000, 0.081116,  0, 0 
11, 178, 133, -90.000000, 0.088478,  0, 0 
11, 108, 134, 90.000000, 0.131635,  0, 1 
11, 109, 134, 90.000000, 0.114391,  0, 1 
11, 110, 134, 90.000000, 0.105451,  0, 1 
11, 111, 134, 90.000000, 0.120741,  0, 1 
11, 112, 134, 90.000000, 0.134346,  0, 1 
11, 113, 134, 90.000000, 0.130321,  0, 1 
11, 114, 134, 90.000000, 0.125483,  0, 1 
11, 115, 134, 90.000000, 0.116663,  0, 1 
11, 121, 134, 90.000000, 0.055587,  0, 1 
11, 122, 134, 90.000000, 0.052857,  0, 1 
11, 123, 134, 90.000000, 0.049635,  0, 1 
11, 124, 134, 90.000000, 0.044895,  0, 1 
11, 125, 134, 90.000000, 0.037831,  0, 1 
11, 126, 134, 90.000000, 0.019153,  0, 1 
11, 139, 134, 90.000000, 0.091340,  0, 1 
11, 140, 134, 90.000000, 0.084593,  0, 1 
11, 141, 134, 90.000000, 0.072842,  0, 1 
11, 142, 134, 90.000000, 0.059574,  0, 1 
11, 143, 134, 90.000000, 0.047157,  0, 1 
11, 144, 134, 90.000000, 0.039314,  0, 1 
11, 145, 134, 90.000000, 0.042408,  0, 1 
11, 146, 134, 90.000000, 0.045085,  0, 1 
11, 157, 134, 90.000000, 0.057248,  0, 1 
11, 158, 134, 90.000000, 0.064985,  0, 1 
11, 159, 134, 90.000000, 0.075297,  0, 1 
11, 160, 134, 90.000000, 0.084330,  0, 1 
11, 161, 134, 90.000000, 0.089126,  0, 1 
11, 162, 134, 90.000000, 0.090012,  0, 1 
11, 163, 134, 90.000000, 0.087973,  0, 1 
11, 176, 134, -90.000000, 0.083696,  0, 0 
11, 177, 134, -90.000000, 0.092815,  0, 0 
11, 178, 134, -90.000000, 0.097692,  0, 0 
11, 179, 134, -90.000000, 0.099499,  0, 0 
11, 107, 135, 90.000000, 0.135640,  0, 1 
11, 108, 135, 90.000000, 0.130372,  0, 1 
11, 109, 135, 90.000000, 0.116333,  0, 1 
11, 110, 135, 90.000000, 0.105566,  0, 1 
11, 111, 135, 90.000000, 0.117052,  0, 1 
11, 112, 135, 90.000000, 0.126999,  0, 1 
11, 113, 135, 90.000000, 0.122008,  0, 1 
11, 114, 135, 90.000000, 0.121560,  0, 1 
